time,factor,gender,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,3_16,3_17,3_18,3_19,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,5_13,5_14,5_15,5_16,5_17,5_18,5_19,
11:55:41,2,Male,2.53795,1.31602,1.44333,0.95992,0.86326,0.86248,1.66162,0.83499,0.83096,1.13781,2.04228,0.88631,1.25057,1.35376,0.78144,0.5989,0.89745,7.01222,7.61669,0.63469,5.38595,3.40546,2.67126,1.05077,16.77665,2.16424,1.28616,1.83524,1.18933,1.00479,1.09284,0.90819,0.90801,0.81397,1.40155,0.57096,0.73365,0.76752,0.96799,0.92877,
12:09:09,4,Female,4.41377,3.4325,1.31752,1.03414,0.7104,0.76296,1.19212,0.84333,0.88784,0.62288,2.45665,0.75734,0.79668,0.63975,0.62414,0.65824,0.46997,0.58799,0.44691,0.52809,0.91785,0.93934,1.57185,0.82304,3.60655,0.88842,0.90494,0.38032,0.76313,0.90873,1.62273,1.03673,0.85044,1.21486,0.86531,0.98668,0.6026,0.80126,0.5553,0.55903,2.63004,2.11032,3.01075,1.11335,0.71388,0.74984,1.46948,1.48474,0.66413,0.94538,0.89972,0.41184,0.67584,0.87459,0.63442,1.0503,0.56716,0.72466,0.51926,0.87738,0.72925,1.0166,1.26799,0.79167,0.49785,0.89993,0.71592,0.78123,0.7642,0.4961,
12:15:50,3,Male,1.67281,0.83093,2.02887,0.72297,0.89951,1.38007,0.89493,0.64899,1.33029,0.81053,1.63564,0.99806,0.7313,0.90578,0.68374,0.89978,0.75855,0.81599,0.8816,0.66661,0.9679,0.84185,0.90958,0.85877,0.78601,0.60939,0.70784,1.09011,0.6651,1.63356,0.70602,0.7641,0.93712,0.55197,1.2482,1.15865,0.62783,0.94109,0.70372,0.80746,2.17357,1.6885,0.84911,0.87656,1.2681,0.68935,0.72311,0.62682,0.73648,0.50718,2.09311,1.0126,3.89188,0.96139,1.92545,0.87422,0.80298,1.26208,1.21954,2.07157,1.69185,1.7147,0.8401,0.65557,0.73557,0.99421,0.66914,0.66879,0.7844,0.53513,
12:18:55,1,Female,1.50603,0.71719,1.3417,0.79751,0.76839,0.80071,0.64123,0.67957,0.69741,0.83669,6.78284,0.9221,3.17978,0.89714,0.73756,0.53566,0.61583,0.63741,1.11174,0.53292,2.61316,0.90615,6.63153,1.14381,1.0634,1.17555,0.72964,0.71521,0.72348,0.70368,1.65116,0.9129,0.7289,0.69138,0.72037,2.12754,1.12816,1.22009,2.08311,0.76967,1.9362,1.007,1.82238,1.57131,0.72785,0.6618,0.80668,0.65709,1.68591,0.76282,2.28377,0.66482,3.94817,0.82044,0.77529,0.85521,0.85447,1.34083,1.87472,1.03735,0.81114,1.36882,1.68842,3.67213,1.25204,1.74263,0.98439,0.97042,1.34849,1.62844,
12:21:59,1,Male,2.11635,1.15315,1.27498,0.69811,0.69028,0.76248,1.67261,0.67366,1.0867,0.94548,3.3499,1.29361,0.70696,0.61216,0.76662,0.8273,0.57996,0.97082,0.78751,0.97581,4.34558,0.67503,1.06143,1.2037,1.11672,0.65213,0.75815,0.57655,0.59601,1.06135,1.07227,1.00412,0.83376,1.08748,0.72752,1.11138,0.93772,1.1409,0.74849,0.93982,3.34651,2.0929,0.67136,2.78344,1.00769,0.67972,0.76883,0.65022,0.65075,0.82235,3.07586,1.71125,2.62283,1.33569,1.84726,1.09286,1.18611,1.68918,2.63332,1.60605,1.02011,1.02184,0.72351,1.01549,0.79643,0.98747,0.97028,0.705,0.90598,1.15125,
12:24:52,4,Female,4.97909,1.14033,2.29381,1.06365,0.76268,0.74401,1.33309,1.36488,0.73432,0.88905,1.82449,0.65043,0.74247,0.88329,0.62204,0.73021,1.20155,0.71661,0.60831,0.81082,1.64452,0.74393,2.46017,1.16244,0.91621,1.34724,1.48662,1.7393,0.854,0.84519,2.0293,1.02074,0.65968,0.63997,1.61497,0.62956,0.71107,0.57677,0.85236,1.21553,1.98863,0.54175,0.63805,0.54959,0.7537,0.7707,0.91875,0.78947,0.49745,1.32202,1.31269,1.18612,0.53877,0.49444,0.47992,1.27153,0.56433,0.89851,1.302,0.79825,2.84854,1.37958,2.08601,0.613,0.54795,0.72392,0.52507,0.65632,0.84993,2.52009,
12:28:24,4,Female,2.78485,1.88755,1.23689,0.70539,0.92412,0.76906,0.70454,0.84073,0.99208,0.6915,0.81039,0.69953,0.53254,0.57023,0.45101,0.51807,0.50205,0.63401,0.55125,0.56686,0.88804,1.20598,0.82866,0.87382,0.73031,1.01792,0.69196,1.10862,0.99475,0.57119,0.80921,0.84203,0.62937,0.71326,1.401,0.64622,0.63251,0.67802,0.51813,0.5948,1.65399,0.65881,0.7253,0.51783,0.61882,0.98785,0.83933,0.78069,0.59406,0.47702,1.4344,0.71595,0.86869,0.80073,2.3017,0.89782,0.62038,0.69371,0.64463,0.85936,0.68007,1.88533,2.68446,3.8003,0.81827,1.64554,0.6124,1.096,0.68447,0.6644,
12:30:56,3,Male,2.1101,0.95915,0.85576,0.95773,0.74234,0.83122,0.72239,0.62376,2.52062,0.90932,1.90171,0.67002,0.69677,0.60349,0.60864,0.54292,0.57807,0.64551,0.79442,0.64996,1.37079,1.46104,1.68254,1.31156,0.83012,1.10608,1.87733,1.71272,0.81976,0.83764,0.82026,0.89161,1.80478,1.38311,0.80242,1.30367,0.63625,0.70169,0.79945,0.63166,1.95188,0.96269,0.76152,0.78375,0.74413,0.58396,0.8565,0.73608,0.83135,1.23989,1.33642,0.80354,1.92978,1.39627,2.35855,2.3868,1.40257,1.26445,0.97921,0.68601,0.91033,1.01235,0.99142,0.92196,0.59017,0.53889,0.62926,0.84762,1.03337,0.78999,
12:33:00,3,Male,3.40687,1.16101,1.24921,0.98594,0.86309,1.89876,1.08765,0.94304,1.14814,1.67593,3.46044,1.32843,0.51887,0.57167,0.50113,0.50785,0.54829,0.55612,0.89593,1.49863,2.01426,1.09358,2.16061,1.7067,0.61566,0.48665,0.69693,1.61467,1.42304,0.60758,0.72238,1.53218,0.82076,1.41633,0.48212,1.0102,1.18014,0.68379,0.80722,0.8805,5.85502,0.72921,0.56023,0.51041,0.6573,1.21844,1.88599,0.59158,2.36652,0.78223,5.58776,1.07243,2.37365,0.71802,4.47933,8.4144,0.7148,1.15286,5.85021,0.9338,0.7979,1.41055,1.22772,0.72426,1.54179,0.78428,0.56565,1.04533,0.50863,0.95738,
12:37:44,1,Male,1.65042,1.82363,1.59092,0.9339,1.62167,1.77629,0.91549,0.64676,0.82501,1.06825,1.59769,0.5653,1.00768,0.64348,0.9434,0.8085,0.77946,0.64984,0.88332,1.0731,1.38749,2.30652,0.65816,0.74218,1.09182,2.08176,0.68259,0.77895,0.91807,0.78106,0.54157,0.7354,1.09688,0.6882,0.5772,0.78799,1.04916,0.56667,0.71712,0.63811,1.39793,2.33753,0.64401,0.86796,0.80248,1.00686,0.84101,2.25535,0.76689,1.20319,20.24773,7.25116,4.15018,2.43076,3.34368,1.11006,0.95438,0.84757,1.47129,1.67866,1.33392,3.13853,0.64378,2.04461,0.69656,0.56743,0.95543,0.51645,0.47763,1.00446,
12:41:06,
12:42:25,2,Female,3.14395,1.33817,0.95422,1.72336,0.6912,0.78963,2.13615,0.78388,2.72012,0.80486,1.36296,0.92907,0.79028,0.97072,0.76307,0.80627,0.70715,1.08252,0.78297,0.84066,1.22068,10.32189,0.87911,3.25552,4.63765,2.57956,0.85445,3.74763,1.38335,1.0365,0.94412,1.40219,0.69359,0.65015,0.94086,0.84846,0.78156,0.74282,2.18454,0.69255,11.53839,0.82434,0.8083,0.88584,1.08268,2.51183,0.65149,0.73341,0.72138,0.56972,3.97184,1.40069,0.78812,0.90283,0.5679,1.52932,1.93216,1.38,0.6761,0.76838,0.6612,0.63591,0.63919,0.80242,1.0143,0.88367,1.38807,0.69093,0.93669,0.91212,
12:46:01,2,Female,4.53097,1.35892,2.56204,1.04665,0.90603,0.76467,4.01545,0.63985,0.70362,0.64048,1.17149,0.5944,0.62484,0.70296,0.7647,0.78115,0.64115,0.71779,0.68813,0.96852,3.23362,1.98402,0.89043,0.76543,1.60901,0.73419,0.84356,0.73441,1.17131,0.65617,0.79659,0.90615,2.64001,0.46864,0.68723,0.71869,2.58281,0.68572,2.99663,0.71833,9.6659,3.32736,1.24971,0.68732,1.70274,0.76543,1.01541,0.76465,1.1716,0.57877,6.0775,1.59337,4.03032,4.54522,4.98381,0.92098,1.79713,2.59236,3.4367,1.23411,1.06223,0.76545,1.81208,1.04743,0.9529,0.82792,2.90485,0.64121,0.76544,0.81166,
13:04:00,2,Male,3.30137,0.98295,0.99067,1.03806,1.71349,1.38841,0.71839,0.78108,0.74904,0.56317,1.12469,0.60924,0.57871,0.93727,0.76546,0.56165,0.57869,0.56239,0.64047,0.95223,1.57844,1.12473,1.49965,0.74982,0.87401,0.76556,0.87547,1.20205,0.64126,1.35838,0.65598,0.53191,0.82794,0.96851,0.60923,0.96852,0.57801,0.56234,0.60926,0.76546,1.43715,0.57733,1.96895,0.54596,0.65689,0.64049,0.67103,0.73454,0.56198,1.01539,2.67121,1.15521,0.73497,2.0464,1.04596,0.53181,0.76546,0.70294,0.60924,1.24974,1.8433,3.04549,1.12475,1.29724,0.71856,1.23408,0.71786,4.41599,0.67364,0.95051,
13:08:03,2,Female,4.84341,1.62462,2.45188,1.23477,3.8897,1.01539,2.42132,1.56214,1.12407,1.10964,2.71891,1.031,1.76455,1.73464,1.32783,2.14012,1.62462,1.20283,1.32783,0.65611,7.70214,1.51446,1.20296,0.813,0.90601,1.56136,0.90682,0.87471,3.31115,1.09416,0.56159,1.34344,0.84355,0.90684,1.07789,1.73396,0.78109,0.99902,0.68804,0.85841,5.79619,1.04592,2.62431,1.1352,1.61744,0.60127,0.8416,0.8052,0.97044,0.94431,4.13793,4.76463,0.90596,5.85877,3.92016,1.14116,0.578,0.81162,0.76546,0.60992,0.71855,0.48349,0.56236,0.71938,0.63968,0.75062,0.74983,1.18723,0.48359,0.60991,
13:15:24,4,Female,1.48481,1.10912,0.81233,0.73341,0.67252,0.54595,0.57799,0.73499,0.74984,0.60921,0.7187,0.90592,0.62492,0.60923,0.57871,0.76477,0.51551,0.81299,0.53044,0.62552,0.90686,1.31216,0.68655,0.65691,0.68733,0.74982,1.12473,0.65532,0.57877,0.92167,1.48402,2.23387,0.82792,2.79623,0.98416,0.98333,0.59362,0.6569,0.68732,0.74983,0.53182,0.54595,0.53192,0.49912,0.6092,0.64128,0.53112,0.56239,0.53109,0.57722,0.62628,0.90617,1.02291,2.28049,0.56239,0.67092,0.62486,0.57801,0.51548,0.54681,0.6404,0.57799,0.71862,0.57877,0.53031,0.62493,0.54748,0.56237,0.65607,0.51484,
13:19:44,2,Male,5.8588,1.32783,2.13933,3.01492,2.24947,1.27645,0.95126,3.76177,1.87219,0.976,2.38364,1.78072,1.67229,1.46761,1.3911,1.09348,0.99898,1.15677,1.06146,1.17239,1.87535,1.42155,6.24852,6.59224,2.15574,1.5309,2.59246,1.46908,1.06226,1.43636,1.01618,0.92168,1.32701,0.81232,0.76626,2.68606,0.8912,0.7967,1.04633,0.76578,3.67171,6.62345,2.49943,1.42074,1.28176,1.1716,1.43714,0.78061,2.31243,0.82792,1.81286,3.20239,1.21845,2.29566,1.45347,1.0146,0.95875,1.03656,1.3303,2.77684,1.04224,1.02395,0.92061,1.07486,1.07788,1.04746,1.59255,0.87559,0.85917,1.79646,
13:34:05,2,Female,1.16256,0.67452,0.66247,0.5122,0.68265,0.56482,0.57375,0.66126,0.73113,0.54546,1.2924,0.6018,0.48209,0.58532,0.49022,0.54829,0.60988,0.71468,0.70196,0.61179,0.84235,0.59754,1.30068,2.11385,0.76701,0.77397,0.56831,0.59604,0.8556,0.60998,0.68769,0.81099,0.9419,0.86643,1.10019,0.67261,0.64402,0.60443,0.61619,0.62524,1.41569,0.59559,0.62404,0.78138,0.61814,0.53498,0.54908,0.63012,0.59572,1.12527,0.94566,0.69319,1.01789,0.65675,0.88083,0.65898,0.6527,0.60892,0.58353,1.0405,0.65804,0.58805,0.60994,0.73161,0.70612,1.02217,1.17518,0.58366,0.54995,0.6342,